prompt,intent,action_type,path,category,args,tags,action_json
vxcli auth login,execute_cli,cli,vxcli auth login,auth,,"vxcli,auth,login","{""action"": ""execute_cli"", ""command"": ""vxcli auth login"", ""explanation"": ""Login to Valtunox platform""}"
Use vx auth login to authenticate,execute_cli,cli,vxcli auth login,auth,,"vxcli,auth,login","{""action"": ""execute_cli"", ""command"": ""vxcli auth login"", ""explanation"": ""Authenticate to platform using vxcli""}"
vxcli login with my API key,execute_cli,cli,vxcli auth login -k xc_dev_mykey -u myuser,auth,,"vxcli,auth,login,apikey","{""action"": ""execute_cli"", ""command"": ""vxcli auth login -k xc_dev_mykey -u myuser"", ""explanation"": ""Login with API key using vxcli""}"
Use vx to sign in with API key,execute_cli,cli,vxcli auth login -k xc_dev_mykey -u myuser,auth,,"vxcli,auth,login,apikey","{""action"": ""execute_cli"", ""command"": ""vxcli auth login -k xc_dev_mykey -u myuser"", ""explanation"": ""Sign in with API key using vxcli""}"
I want to use vxcli to log in to my account,execute_cli,cli,vxcli auth login,auth,,"vxcli,auth,login","{""action"": ""execute_cli"", ""command"": ""vxcli auth login"", ""explanation"": ""Login to account using vxcli""}"
vxcli auth login with email and password,execute_cli,cli,vxcli auth login --email user@example.com --password mypass,auth,,"vxcli,auth,login,password","{""action"": ""execute_cli"", ""command"": ""vxcli auth login --email user@example.com --password mypass"", ""explanation"": ""Login with email and password using vxcli""}"
Use vx to authenticate with my email,execute_cli,cli,vxcli auth login --email user@example.com --password mypass,auth,,"vxcli,auth,login,email","{""action"": ""execute_cli"", ""command"": ""vxcli auth login --email user@example.com --password mypass"", ""explanation"": ""Authenticate with email using vxcli""}"
vxcli login from config file,execute_cli,cli,vxcli auth login --from-file ./valtunox.json,auth,,"vxcli,auth,login,file","{""action"": ""execute_cli"", ""command"": ""vxcli auth login --from-file ./valtunox.json"", ""explanation"": ""Login from config file using vxcli""}"
Use vx auth login with workspace and org,execute_cli,cli,vxcli auth login -u joelwembo --workspace myteam --org myorg,auth,,"vxcli,auth,login,workspace,org","{""action"": ""execute_cli"", ""command"": ""vxcli auth login -u joelwembo --workspace myteam --org myorg"", ""explanation"": ""Login with workspace and org using vxcli""}"
vxcli force re-authentication,execute_cli,cli,vxcli auth login --force,auth,,"vxcli,auth,login,force","{""action"": ""execute_cli"", ""command"": ""vxcli auth login --force"", ""explanation"": ""Force re-authentication using vxcli""}"
How do I use vx to sign in again?,execute_cli,cli,vxcli auth login --force,auth,,"vxcli,auth,login,force","{""action"": ""execute_cli"", ""command"": ""vxcli auth login --force"", ""explanation"": ""Force re-login using vxcli""}"
vxcli auth logout,execute_cli,cli,vxcli auth logout,auth,,"vxcli,auth,logout","{""action"": ""execute_cli"", ""command"": ""vxcli auth logout"", ""explanation"": ""Logout from Valtunox platform""}"
Use vx to log out,execute_cli,cli,vxcli auth logout,auth,,"vxcli,auth,logout","{""action"": ""execute_cli"", ""command"": ""vxcli auth logout"", ""explanation"": ""Logout using vxcli""}"
I want to sign out of vxcli,execute_cli,cli,vxcli auth logout,auth,,"vxcli,auth,logout","{""action"": ""execute_cli"", ""command"": ""vxcli auth logout"", ""explanation"": ""Sign out of vxcli""}"
vxcli remove my credentials,execute_cli,cli,vxcli auth logout,auth,,"vxcli,auth,logout","{""action"": ""execute_cli"", ""command"": ""vxcli auth logout"", ""explanation"": ""Remove stored credentials using vxcli""}"
vxcli auth status,execute_cli,cli,vxcli auth status,auth,,"vxcli,auth,status","{""action"": ""execute_cli"", ""command"": ""vxcli auth status"", ""explanation"": ""Check authentication status""}"
Use vx to check if I am logged in,execute_cli,cli,vxcli auth status,auth,,"vxcli,auth,status","{""action"": ""execute_cli"", ""command"": ""vxcli auth status"", ""explanation"": ""Check login status using vxcli""}"
Am I authenticated on vxcli?,execute_cli,cli,vxcli auth status,auth,,"vxcli,auth,status","{""action"": ""execute_cli"", ""command"": ""vxcli auth status"", ""explanation"": ""Check if authenticated on vxcli""}"
Check my vx auth status,execute_cli,cli,vxcli auth status,auth,,"vxcli,auth,status","{""action"": ""execute_cli"", ""command"": ""vxcli auth status"", ""explanation"": ""Check auth status using vxcli""}"
vxcli auth whoami,execute_cli,cli,vxcli auth whoami,auth,,"vxcli,auth,whoami","{""action"": ""execute_cli"", ""command"": ""vxcli auth whoami"", ""explanation"": ""Show current authenticated user""}"
Use vx to check who I am,execute_cli,cli,vxcli auth whoami,auth,,"vxcli,auth,whoami","{""action"": ""execute_cli"", ""command"": ""vxcli auth whoami"", ""explanation"": ""Display current user using vxcli""}"
What user am I on vxcli?,execute_cli,cli,vxcli auth whoami,auth,,"vxcli,auth,whoami","{""action"": ""execute_cli"", ""command"": ""vxcli auth whoami"", ""explanation"": ""Show who I am on vxcli""}"
Show my vx identity,execute_cli,cli,vxcli auth whoami,auth,,"vxcli,auth,whoami","{""action"": ""execute_cli"", ""command"": ""vxcli auth whoami"", ""explanation"": ""Show identity on vxcli""}"
vxcli auth validate,execute_cli,cli,vxcli auth validate,auth,,"vxcli,auth,validate","{""action"": ""execute_cli"", ""command"": ""vxcli auth validate"", ""explanation"": ""Validate API key with server""}"
Use vx to validate my API key,execute_cli,cli,vxcli auth validate,auth,,"vxcli,auth,validate","{""action"": ""execute_cli"", ""command"": ""vxcli auth validate"", ""explanation"": ""Validate API key using vxcli""}"
Is my vxcli API key still valid?,execute_cli,cli,vxcli auth validate,auth,,"vxcli,auth,validate","{""action"": ""execute_cli"", ""command"": ""vxcli auth validate"", ""explanation"": ""Check if API key is valid on vxcli""}"
Verify my vx credentials,execute_cli,cli,vxcli auth validate,auth,,"vxcli,auth,validate","{""action"": ""execute_cli"", ""command"": ""vxcli auth validate"", ""explanation"": ""Verify credentials using vxcli""}"
Use vxcli to deploy my app to AWS EC2,execute_cli,cli,vxcli deploy --app myapp --cloud aws --service ec2,deploy,,"vxcli,deploy,aws,ec2","{""action"": ""execute_cli"", ""command"": ""vxcli deploy --app myapp --cloud aws --service ec2"", ""explanation"": ""Deploy application to AWS EC2 using vxcli""}"
Use vx to deploy my app to AWS,execute_cli,cli,vxcli deploy --app myapp --cloud aws --service ec2,deploy,,"vxcli,deploy,aws,ec2","{""action"": ""execute_cli"", ""command"": ""vxcli deploy --app myapp --cloud aws --service ec2"", ""explanation"": ""Deploy to AWS using vxcli""}"
vxcli deploy my fastapi app on AWS,execute_cli,cli,vxcli deploy --app myapp --cloud aws --service ec2,deploy,,"vxcli,deploy,aws,ec2,fastapi","{""action"": ""execute_cli"", ""command"": ""vxcli deploy --app myapp --cloud aws --service ec2"", ""explanation"": ""Deploy FastAPI app to AWS EC2 using vxcli""}"
I need vxcli to spin up an EC2 instance,execute_cli,cli,vxcli deploy --app myapp --cloud aws --service ec2,deploy,,"vxcli,deploy,aws,ec2","{""action"": ""execute_cli"", ""command"": ""vxcli deploy --app myapp --cloud aws --service ec2"", ""explanation"": ""Create EC2 instance using vxcli""}"
vxcli deploy to Azure VM,execute_cli,cli,vxcli deploy --app myapp --cloud azure --service vm,deploy,,"vxcli,deploy,azure,vm","{""action"": ""execute_cli"", ""command"": ""vxcli deploy --app myapp --cloud azure --service vm"", ""explanation"": ""Deploy to Azure VM using vxcli""}"
