prompt,intent,action_type,path,category,args,tags,action_json
Create AWS API Gateway using terraform,execute_script,terraform,aws/terraform_aws_apigateway,aws,,"aws,apigateway,api,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_apigateway"", ""explanation"": ""AWS API Gateway""}"
Provision AWS API Gateway with terraform,execute_script,terraform,aws/terraform_aws_apigateway,aws,,"aws,apigateway,api,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_apigateway"", ""explanation"": ""AWS API Gateway""}"
Set up AWS API Gateway,execute_script,terraform,aws/terraform_aws_apigateway,aws,,"aws,apigateway,api,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_apigateway"", ""explanation"": ""AWS API Gateway""}"
Deploy AWS API Gateway,execute_script,terraform,aws/terraform_aws_apigateway,aws,,"aws,apigateway,api,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_apigateway"", ""explanation"": ""AWS API Gateway""}"
Create AWS Aurora database using terraform,execute_script,terraform,aws/terraform_aws_aurora,aws,,"aws,aurora,database,rds","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_aurora"", ""explanation"": ""AWS Aurora database""}"
Provision AWS Aurora database with terraform,execute_script,terraform,aws/terraform_aws_aurora,aws,,"aws,aurora,database,rds","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_aurora"", ""explanation"": ""AWS Aurora database""}"
Set up AWS Aurora database,execute_script,terraform,aws/terraform_aws_aurora,aws,,"aws,aurora,database,rds","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_aurora"", ""explanation"": ""AWS Aurora database""}"
Deploy AWS Aurora database,execute_script,terraform,aws/terraform_aws_aurora,aws,,"aws,aurora,database,rds","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_aurora"", ""explanation"": ""AWS Aurora database""}"
Create AWS Backup using terraform,execute_script,terraform,aws/terraform_aws_backup,aws,,"aws,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_backup"", ""explanation"": ""AWS Backup""}"
Provision AWS Backup with terraform,execute_script,terraform,aws/terraform_aws_backup,aws,,"aws,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_backup"", ""explanation"": ""AWS Backup""}"
Set up AWS Backup,execute_script,terraform,aws/terraform_aws_backup,aws,,"aws,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_backup"", ""explanation"": ""AWS Backup""}"
Deploy AWS Backup,execute_script,terraform,aws/terraform_aws_backup,aws,,"aws,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_backup"", ""explanation"": ""AWS Backup""}"
Create AWS Database Migration Service using terraform,execute_script,terraform,aws/terraform_aws_dms,aws,,"aws,dms,migration,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dms"", ""explanation"": ""AWS Database Migration Service""}"
Provision AWS Database Migration Service with terraform,execute_script,terraform,aws/terraform_aws_dms,aws,,"aws,dms,migration,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dms"", ""explanation"": ""AWS Database Migration Service""}"
