prompt,intent,action_type,path,category,args,tags,action_json
Run ai/install_ai_cli.sh,execute_script,script,ai/install_ai_cli.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_ai_cli.sh"", ""explanation"": ""AI tools installation: install ai cli""}"
Execute ai/install_ai_cli.sh on my server,execute_script,script,ai/install_ai_cli.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_ai_cli.sh"", ""explanation"": ""AI tools installation: install ai cli""}"
Install ai cli,execute_script,script,ai/install_ai_cli.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_ai_cli.sh"", ""explanation"": ""AI tools installation: install ai cli""}"
Set up ai cli on my server,execute_script,script,ai/install_ai_cli.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_ai_cli.sh"", ""explanation"": ""AI tools installation: install ai cli""}"
I need ai cli installed,execute_script,script,ai/install_ai_cli.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_ai_cli.sh"", ""explanation"": ""AI tools installation: install ai cli""}"
Can you install ai cli?,execute_script,script,ai/install_ai_cli.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_ai_cli.sh"", ""explanation"": ""AI tools installation: install ai cli""}"
Run ai/install_hermes.sh,execute_script,script,ai/install_hermes.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_hermes.sh"", ""explanation"": ""AI tools installation: install hermes""}"
Execute ai/install_hermes.sh on my server,execute_script,script,ai/install_hermes.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_hermes.sh"", ""explanation"": ""AI tools installation: install hermes""}"
Install hermes,execute_script,script,ai/install_hermes.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_hermes.sh"", ""explanation"": ""AI tools installation: install hermes""}"
Set up hermes on my server,execute_script,script,ai/install_hermes.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_hermes.sh"", ""explanation"": ""AI tools installation: install hermes""}"
I need hermes installed,execute_script,script,ai/install_hermes.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_hermes.sh"", ""explanation"": ""AI tools installation: install hermes""}"
Can you install hermes?,execute_script,script,ai/install_hermes.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_hermes.sh"", ""explanation"": ""AI tools installation: install hermes""}"
Run ai/install_opencode.sh,execute_script,script,ai/install_opencode.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_opencode.sh"", ""explanation"": ""AI tools installation: install opencode""}"
Execute ai/install_opencode.sh on my server,execute_script,script,ai/install_opencode.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_opencode.sh"", ""explanation"": ""AI tools installation: install opencode""}"
Install opencode,execute_script,script,ai/install_opencode.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_opencode.sh"", ""explanation"": ""AI tools installation: install opencode""}"
Set up opencode on my server,execute_script,script,ai/install_opencode.sh,ai,,"ai,cli,hermes,opencode","{""action"": ""execute"", ""type"": ""script"", ""path"": ""ai/install_opencode.sh"", ""explanation"": ""AI tools installation: install opencode""}"
