question,answer,category
"How do I reset my password?","Open the login page, click 'Forgot password', enter the email address on your account, and follow the link we send. The link is valid for 30 minutes.","account"
"I'm not getting the password reset email","Check your spam folder first. If it's not there, confirm the email on your account is current, then request the reset again. Some corporate mail servers delay delivery up to 5 minutes.","account"
"How do I enable two-factor authentication?","Go to Settings > Security > Two-Factor Authentication. You can use an authenticator app (recommended) or SMS. We recommend backing up your recovery codes immediately after enabling.","account"
"I lost my 2FA device, how do I get back in?","Use one of the recovery codes you saved when you enabled 2FA. If you don't have them, contact support with proof of identity and we'll verify and reset your 2FA within one business day.","account"
"How do I change the email address on my account?","Settings > Profile > Email. We'll send a confirmation link to the new address. Until you click it, your old address stays active.","account"
"How do I delete my account?","Settings > Account > Delete account. This is irreversible. We export your data first if you tick 'Email me my data before deletion'.","account"
"Can I have multiple accounts under one email?","No. Each account requires a unique email. If you need separate workspaces, use the multi-workspace feature inside a single account.","account"
"How do I update my profile picture?","Settings > Profile > Avatar. Upload any PNG or JPG under 5 MB. Square images crop cleanest.","account"
"My email is not verified, what do I do?","Open Settings > Profile and click 'Resend verification email'. The link expires in 24 hours.","account"
"Can I change my username?","Yes, once every 30 days. Settings > Profile > Username. Old links to your profile redirect for 90 days.","account"
"How do I update my billing information?","Settings > Billing > Payment method. Changes apply to your next invoice. Current open invoices are not retroactively re-charged.","billing"
"When am I charged?","Subscriptions renew on the same day of the month you signed up. You'll see a charge a few minutes after midnight UTC on the renewal date.","billing"
"How do I get a copy of my invoice?","Settings > Billing > Invoice history. Each invoice has a PDF download. We also email PDFs to the billing contact on each renewal.","billing"
"Can I get a refund?","Refunds within 14 days of a charge are automatic if you haven't used the paid features. After that, contact support — we review case by case.","billing"
"How do I cancel my subscription?","Settings > Billing > Cancel subscription. You keep access until the end of the current period. We don't pro-rate cancellations.","billing"
"What happens if my payment fails?","We retry the charge twice over 7 days. If both retries fail, your account drops to the free tier and you get an email with a link to update your payment method.","billing"
