prompt,intent,action_type,path,category,args,tags,action_json
Generate a GitHub Actions workflow for my Node.js app,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Create CI/CD pipeline for Node.js on GitHub,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Set up GitHub Actions for my React project,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Create a GitHub Actions workflow for a Node.js application,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Generate CI pipeline for Node.js using GitHub Actions,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Set up continuous integration for my Node.js project on GitHub,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Create a build and test workflow for Node.js on GitHub Actions,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
I need a GitHub Actions pipeline for my Express.js app,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Generate a GitHub Actions YAML for Node.js CI/CD,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
Build a GitHub Actions workflow to test my Node.js code,generate_workflow,github_actions,workflows/github_actions/nodejs,cicd,,"github,actions,nodejs,cicd,pipeline","{""action"": ""generate_workflow"", ""provider"": ""github_actions"", ""runtime"": ""nodejs"", ""explanation"": ""Generating GitHub Actions workflow for Node.js""}"
