prompt,intent,action_type,path,category,args,tags,action_json
Deploy FastAPI application,deploy_service,deploy_service,,fastapi,,"python,fastapi,api","{""action"": ""deploy_service"", ""service"": ""fastapi"", ""endpoint"": ""/api/v1/infrastructure/services/fastapi/deploy"", ""explanation"": ""Deploy FastAPI application to VM""}"
Deploy my FastAPI app to the server,deploy_service,deploy_service,,fastapi,,"python,fastapi,api","{""action"": ""deploy_service"", ""service"": ""fastapi"", ""endpoint"": ""/api/v1/infrastructure/services/fastapi/deploy"", ""explanation"": ""Deploy FastAPI application to VM""}"
Set up FastAPI deployment,deploy_service,deploy_service,,fastapi,,"python,fastapi,api","{""action"": ""deploy_service"", ""service"": ""fastapi"", ""endpoint"": ""/api/v1/infrastructure/services/fastapi/deploy"", ""explanation"": ""Deploy FastAPI application to VM""}"
I want to deploy a FastAPI project,deploy_service,deploy_service,,fastapi,,"python,fastapi,api","{""action"": ""deploy_service"", ""service"": ""fastapi"", ""endpoint"": ""/api/v1/infrastructure/services/fastapi/deploy"", ""explanation"": ""Deploy FastAPI application to VM""}"
Push my FastAPI app to production,deploy_service,deploy_service,,fastapi,,"python,fastapi,api","{""action"": ""deploy_service"", ""service"": ""fastapi"", ""endpoint"": ""/api/v1/infrastructure/services/fastapi/deploy"", ""explanation"": ""Deploy FastAPI application to VM""}"
Deploy FastAPI on my VM,deploy_service,deploy_service,,fastapi,,"python,fastapi,api","{""action"": ""deploy_service"", ""service"": ""fastapi"", ""endpoint"": ""/api/v1/infrastructure/services/fastapi/deploy"", ""explanation"": ""Deploy FastAPI application to VM""}"
Deploy React application,deploy_service,deploy_service,,reactjs,,"react,javascript,frontend","{""action"": ""deploy_service"", ""service"": ""reactjs"", ""endpoint"": ""/api/v1/infrastructure/services/reactjs/deploy"", ""explanation"": ""Deploy React application to VM""}"
Deploy my React app to the server,deploy_service,deploy_service,,reactjs,,"react,javascript,frontend","{""action"": ""deploy_service"", ""service"": ""reactjs"", ""endpoint"": ""/api/v1/infrastructure/services/reactjs/deploy"", ""explanation"": ""Deploy React application to VM""}"
Set up React deployment,deploy_service,deploy_service,,reactjs,,"react,javascript,frontend","{""action"": ""deploy_service"", ""service"": ""reactjs"", ""endpoint"": ""/api/v1/infrastructure/services/reactjs/deploy"", ""explanation"": ""Deploy React application to VM""}"
I want to deploy a React project,deploy_service,deploy_service,,reactjs,,"react,javascript,frontend","{""action"": ""deploy_service"", ""service"": ""reactjs"", ""endpoint"": ""/api/v1/infrastructure/services/reactjs/deploy"", ""explanation"": ""Deploy React application to VM""}"
Push my React app to production,deploy_service,deploy_service,,reactjs,,"react,javascript,frontend","{""action"": ""deploy_service"", ""service"": ""reactjs"", ""endpoint"": ""/api/v1/infrastructure/services/reactjs/deploy"", ""explanation"": ""Deploy React application to VM""}"
Deploy React on my VM,deploy_service,deploy_service,,reactjs,,"react,javascript,frontend","{""action"": ""deploy_service"", ""service"": ""reactjs"", ""endpoint"": ""/api/v1/infrastructure/services/reactjs/deploy"", ""explanation"": ""Deploy React application to VM""}"
Deploy Next.js application,deploy_service,deploy_service,,nextjs,,"nextjs,javascript,frontend,ssr","{""action"": ""deploy_service"", ""service"": ""nextjs"", ""endpoint"": ""/api/v1/infrastructure/services/nextjs/deploy"", ""explanation"": ""Deploy Next.js application to VM""}"
Deploy my Next.js app to the server,deploy_service,deploy_service,,nextjs,,"nextjs,javascript,frontend,ssr","{""action"": ""deploy_service"", ""service"": ""nextjs"", ""endpoint"": ""/api/v1/infrastructure/services/nextjs/deploy"", ""explanation"": ""Deploy Next.js application to VM""}"
Set up Next.js deployment,deploy_service,deploy_service,,nextjs,,"nextjs,javascript,frontend,ssr","{""action"": ""deploy_service"", ""service"": ""nextjs"", ""endpoint"": ""/api/v1/infrastructure/services/nextjs/deploy"", ""explanation"": ""Deploy Next.js application to VM""}"
