prompt,intent,action_type,path,category,args,tags,action_json
Clone my repo and deploy it to AWS,multi_step,multi_step,,clone_build_deploy,,"git,clone,deploy,aws","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""deployment/deploy.sh""}], ""explanation"": ""Clone repository and deploy application to AWS""}"
Pull the code from GitHub and set up the server,multi_step,multi_step,,clone_build_deploy,,"git,clone,deploy,server","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""deployment/setup.sh""}], ""explanation"": ""Clone repository from GitHub and set up the server""}"
Clone the project and build it and deploy to production,multi_step,multi_step,,clone_build_deploy,,"git,clone,build,deploy,production","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""deployment/build.sh""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""deployment/deploy.sh""}], ""explanation"": ""Clone project then build and deploy to production""}"
Get my code from GitHub and deploy it with Docker,multi_step,multi_step,,clone_build_deploy,,"git,clone,docker,deploy","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""shared/terraform/docker/terraform_docker_ubuntu_fastapi/run_terraform.sh""}], ""explanation"": ""Clone repository and deploy with Docker containers""}"
Clone my FastAPI app and deploy it,multi_step,multi_step,,clone_build_deploy,,"git,clone,fastapi,deploy","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/fastapi-app.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""shared/terraform/docker/terraform_docker_ubuntu_fastapi/run_terraform.sh""}], ""explanation"": ""Clone FastAPI application and deploy it""}"
Pull my repository and run the deployment script,multi_step,multi_step,,clone_build_deploy,,"git,pull,deploy,script","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""deployment/deploy.sh""}], ""explanation"": ""Pull repository and execute deployment script""}"
Clone the repo from GitHub and deploy to my EC2 instance,multi_step,multi_step,,clone_build_deploy,,"git,clone,deploy,ec2,aws","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main""}, {""action"": ""terraform_apply"", ""module"": ""shared/terraform/aws/terraform_aws_ec2_basic""}], ""explanation"": ""Clone repository and deploy to EC2 instance""}"
Fetch my code and deploy it as a Docker container,multi_step,multi_step,,clone_build_deploy,,"git,fetch,docker,deploy","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""shared/terraform/docker/terraform_docker_ubuntu_python/run_terraform.sh""}], ""explanation"": ""Fetch code from GitHub and deploy as Docker container""}"
Clone my Django project and deploy it to the server,multi_step,multi_step,,clone_build_deploy,,"git,clone,django,deploy","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/django-app.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""shared/terraform/docker/terraform_docker_ubuntu_django/run_terraform.sh""}], ""explanation"": ""Clone Django project and deploy to server""}"
Pull from GitHub and deploy my Node.js application,multi_step,multi_step,,clone_build_deploy,,"git,pull,nodejs,deploy","{""action"": ""multi_step"", ""steps"": [{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/nodejs-app.git"", ""branch"": ""main""}, {""action"": ""execute"", ""type"": ""script"", ""path"": ""shared/terraform/docker/terraform_docker_ubuntu_nodejs/run_terraform.sh""}], ""explanation"": ""Pull Node.js application from GitHub and deploy""}"
