prompt,intent,action_type,path,category,args,tags,action_json
Write a Dockerfile for a Python FastAPI app,generate_code,code,dockerfile@python_fastapi,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (FastAPI, python:3.12-slim, uvicorn, non-root)"", ""explanation"": ""Multi-stage Dockerfile: python:3.12-slim base, copies requirements.txt, runs uvicorn on :8000, non-root USER, HEALTHCHECK""}"
Generate a production Dockerfile for FastAPI on port 8000,generate_code,code,dockerfile@python_fastapi,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (FastAPI, python:3.12-slim, uvicorn, non-root)"", ""explanation"": ""Multi-stage Dockerfile: python:3.12-slim base, copies requirements.txt, runs uvicorn on :8000, non-root USER, HEALTHCHECK""}"
Containerize my FastAPI app,generate_code,code,dockerfile@python_fastapi,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (FastAPI, python:3.12-slim, uvicorn, non-root)"", ""explanation"": ""Multi-stage Dockerfile: python:3.12-slim base, copies requirements.txt, runs uvicorn on :8000, non-root USER, HEALTHCHECK""}"
I need a Dockerfile for a Python uvicorn app,generate_code,code,dockerfile@python_fastapi,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (FastAPI, python:3.12-slim, uvicorn, non-root)"", ""explanation"": ""Multi-stage Dockerfile: python:3.12-slim base, copies requirements.txt, runs uvicorn on :8000, non-root USER, HEALTHCHECK""}"
Create a slim Dockerfile for FastAPI,generate_code,code,dockerfile@python_fastapi,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (FastAPI, python:3.12-slim, uvicorn, non-root)"", ""explanation"": ""Multi-stage Dockerfile: python:3.12-slim base, copies requirements.txt, runs uvicorn on :8000, non-root USER, HEALTHCHECK""}"
Write a Dockerfile for a Django app,generate_code,code,dockerfile@python_django,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (Django, python:3.12-slim, gunicorn, collectstatic)"", ""explanation"": ""python:3.12-slim, runs migrate + collectstatic, gunicorn 4 workers, non-root, HEALTHCHECK""}"
Containerize my Django project with gunicorn,generate_code,code,dockerfile@python_django,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (Django, python:3.12-slim, gunicorn, collectstatic)"", ""explanation"": ""python:3.12-slim, runs migrate + collectstatic, gunicorn 4 workers, non-root, HEALTHCHECK""}"
Generate a Django production Dockerfile,generate_code,code,dockerfile@python_django,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (Django, python:3.12-slim, gunicorn, collectstatic)"", ""explanation"": ""python:3.12-slim, runs migrate + collectstatic, gunicorn 4 workers, non-root, HEALTHCHECK""}"
I need a Dockerfile for Django,generate_code,code,dockerfile@python_django,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (Django, python:3.12-slim, gunicorn, collectstatic)"", ""explanation"": ""python:3.12-slim, runs migrate + collectstatic, gunicorn 4 workers, non-root, HEALTHCHECK""}"
Create a Dockerfile for Django + gunicorn,generate_code,code,dockerfile@python_django,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (Django, python:3.12-slim, gunicorn, collectstatic)"", ""explanation"": ""python:3.12-slim, runs migrate + collectstatic, gunicorn 4 workers, non-root, HEALTHCHECK""}"
Write a Dockerfile for a Go API,generate_code,code,dockerfile@go_gin,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (Go, multi-stage, golang:1.22 builder \u2192 distroless/static)"", ""explanation"": ""Two-stage: golang:1.22 builder runs go build with CGO_ENABLED=0, final stage is gcr.io/distroless/static""}"
Generate a multi-stage Dockerfile for a Go service,generate_code,code,dockerfile@go_gin,dockerfile,,"codingllm,dockerfile,generate","{""action"": ""generate"", ""language"": ""dockerfile"", ""artifact"": ""Dockerfile (Go, multi-stage, golang:1.22 builder \u2192 distroless/static)"", ""explanation"": ""Two-stage: golang:1.22 builder runs go build with CGO_ENABLED=0, final stage is gcr.io/distroless/static""}"
