prompt,intent,action_type,path,category,args,tags,action_json
Deploy Django to Kubernetes,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Set up Django on K8s,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Create Kubernetes deployment for Django app,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Deploy my Django application on Kubernetes cluster,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Generate K8s manifests for Django,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Create Django Kubernetes deployment and service,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
I need to deploy Django on K8s,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Set up Django web app on Kubernetes,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Deploy Django REST API to Kubernetes,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Create K8s deployment for my Django project,deploy_kubernetes,kubernetes,kubernetes/templates/django_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,django","{""action"": ""deploy_kubernetes"", ""template"": ""django_kubernetes_template"", ""explanation"": ""Deploy Django application to Kubernetes""}"
Deploy FastAPI on Kubernetes,deploy_kubernetes,kubernetes,kubernetes/templates/fastapi_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,fastapi","{""action"": ""deploy_kubernetes"", ""template"": ""fastapi_kubernetes_template"", ""explanation"": ""Deploy FastAPI application to Kubernetes""}"
Create K8s manifest for FastAPI,deploy_kubernetes,kubernetes,kubernetes/templates/fastapi_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,fastapi","{""action"": ""deploy_kubernetes"", ""template"": ""fastapi_kubernetes_template"", ""explanation"": ""Deploy FastAPI application to Kubernetes""}"
Set up FastAPI on Kubernetes cluster,deploy_kubernetes,kubernetes,kubernetes/templates/fastapi_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,fastapi","{""action"": ""deploy_kubernetes"", ""template"": ""fastapi_kubernetes_template"", ""explanation"": ""Deploy FastAPI application to Kubernetes""}"
Deploy my FastAPI application to K8s,deploy_kubernetes,kubernetes,kubernetes/templates/fastapi_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,fastapi","{""action"": ""deploy_kubernetes"", ""template"": ""fastapi_kubernetes_template"", ""explanation"": ""Deploy FastAPI application to Kubernetes""}"
Generate Kubernetes deployment for FastAPI,deploy_kubernetes,kubernetes,kubernetes/templates/fastapi_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,fastapi","{""action"": ""deploy_kubernetes"", ""template"": ""fastapi_kubernetes_template"", ""explanation"": ""Deploy FastAPI application to Kubernetes""}"
Create FastAPI Kubernetes deployment and service,deploy_kubernetes,kubernetes,kubernetes/templates/fastapi_kubernetes_template,kubernetes,,"kubernetes,k8s,deploy,fastapi","{""action"": ""deploy_kubernetes"", ""template"": ""fastapi_kubernetes_template"", ""explanation"": ""Deploy FastAPI application to Kubernetes""}"
