prompt,intent,action_type,path,category,args,tags,action_json
Clone the repository https://github.com/user/myapp.git,git_clone,git_clone,,git,,"git,clone,github","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/myapp.git"", ""branch"": ""main"", ""explanation"": ""Cloning repository user/myapp""}"
Pull down the repo from GitHub,git_clone,git_clone,,git,,"git,clone,github","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/project.git"", ""branch"": ""main"", ""explanation"": ""Cloning repository from GitHub""}"
Clone my project from GitLab,git_clone,git_clone,,git,,"git,clone,gitlab","{""action"": ""git_clone"", ""repo_url"": ""https://gitlab.com/team/project.git"", ""branch"": ""main"", ""explanation"": ""Cloning project from GitLab""}"
Get the source code from https://github.com/org/project,git_clone,git_clone,,git,,"git,clone,github","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/project.git"", ""branch"": ""main"", ""explanation"": ""Cloning source code from GitHub""}"
Clone the main branch of my repo,git_clone,git_clone,,git,,"git,clone,branch","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""main"", ""explanation"": ""Cloning main branch of repository""}"
Clone the develop branch,git_clone,git_clone,,git,,"git,clone,branch,develop","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/repo.git"", ""branch"": ""develop"", ""explanation"": ""Cloning develop branch of repository""}"
Clone https://github.com/facebook/react.git,git_clone,git_clone,,git,,"git,clone,github,react","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/facebook/react.git"", ""branch"": ""main"", ""explanation"": ""Cloning Facebook React repository""}"
Clone the backend service repo,git_clone,git_clone,,git,,"git,clone,backend","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/company/backend-service.git"", ""branch"": ""main"", ""explanation"": ""Cloning backend service repository""}"
Pull the infrastructure repo from GitHub,git_clone,git_clone,,git,,"git,clone,infra","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/devops/infra.git"", ""branch"": ""main"", ""explanation"": ""Cloning infrastructure repository""}"
Clone https://github.com/kubernetes/kubernetes.git,git_clone,git_clone,,git,,"git,clone,kubernetes","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/kubernetes/kubernetes.git"", ""branch"": ""master"", ""explanation"": ""Cloning Kubernetes repository""}"
Download the repo https://github.com/hashicorp/terraform.git,git_clone,git_clone,,git,,"git,clone,terraform","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/hashicorp/terraform.git"", ""branch"": ""main"", ""explanation"": ""Cloning Terraform repository""}"
Clone my microservices repo,git_clone,git_clone,,git,,"git,clone,microservices","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/microservices.git"", ""branch"": ""main"", ""explanation"": ""Cloning microservices repository""}"
Git clone https://github.com/docker/compose.git,git_clone,git_clone,,git,,"git,clone,docker","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/docker/compose.git"", ""branch"": ""main"", ""explanation"": ""Cloning Docker Compose repository""}"
Fetch the repo from https://bitbucket.org/team/app.git,git_clone,git_clone,,git,,"git,clone,bitbucket","{""action"": ""git_clone"", ""repo_url"": ""https://bitbucket.org/team/app.git"", ""branch"": ""main"", ""explanation"": ""Cloning repository from Bitbucket""}"
Clone the staging branch of the frontend repo,git_clone,git_clone,,git,,"git,clone,branch,staging","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/frontend.git"", ""branch"": ""staging"", ""explanation"": ""Cloning staging branch of frontend repository""}"
Clone https://github.com/ansible/ansible.git,git_clone,git_clone,,git,,"git,clone,ansible","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/ansible/ansible.git"", ""branch"": ""devel"", ""explanation"": ""Cloning Ansible repository""}"
Pull the latest code from our GitHub repo,git_clone,git_clone,,git,,"git,clone,github","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/company/app.git"", ""branch"": ""main"", ""explanation"": ""Cloning latest code from GitHub""}"
Clone the release branch,git_clone,git_clone,,git,,"git,clone,branch,release","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/service.git"", ""branch"": ""release"", ""explanation"": ""Cloning release branch""}"
Clone the monorepo from GitHub,git_clone,git_clone,,git,,"git,clone,monorepo","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/monorepo.git"", ""branch"": ""main"", ""explanation"": ""Cloning monorepo""}"
Get the code from https://github.com/prometheus/prometheus.git,git_clone,git_clone,,git,,"git,clone,prometheus","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/prometheus/prometheus.git"", ""branch"": ""main"", ""explanation"": ""Cloning Prometheus repository""}"
Clone the API gateway repo,git_clone,git_clone,,git,,"git,clone,api","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/api-gateway.git"", ""branch"": ""main"", ""explanation"": ""Cloning API gateway repository""}"
Clone repo and checkout feature/auth branch,git_clone,git_clone,,git,,"git,clone,branch,feature","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/app.git"", ""branch"": ""feature/auth"", ""explanation"": ""Cloning repository and checking out feature/auth branch""}"
Clone the DevOps tooling repository,git_clone,git_clone,,git,,"git,clone,devops","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/team/devops-tools.git"", ""branch"": ""main"", ""explanation"": ""Cloning DevOps tooling repository""}"
Clone https://github.com/grafana/grafana.git,git_clone,git_clone,,git,,"git,clone,grafana","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/grafana/grafana.git"", ""branch"": ""main"", ""explanation"": ""Cloning Grafana repository""}"
Pull down the Terraform modules repo,git_clone,git_clone,,git,,"git,clone,terraform","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/terraform-modules.git"", ""branch"": ""main"", ""explanation"": ""Cloning Terraform modules repository""}"
Clone the mobile app repository from GitHub,git_clone,git_clone,,git,,"git,clone,mobile","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/mobile-app.git"", ""branch"": ""main"", ""explanation"": ""Cloning mobile app repository""}"
Clone https://github.com/nginx/nginx.git on my server,git_clone,git_clone,,git,,"git,clone,nginx","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/nginx/nginx.git"", ""branch"": ""master"", ""explanation"": ""Cloning NGINX repository""}"
Clone the CI/CD pipeline repository,git_clone,git_clone,,git,,"git,clone,cicd","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/ci-cd-pipelines.git"", ""branch"": ""main"", ""explanation"": ""Cloning CI/CD pipeline repository""}"
Clone https://github.com/helm/charts.git,git_clone,git_clone,,git,,"git,clone,helm","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/helm/charts.git"", ""branch"": ""main"", ""explanation"": ""Cloning Helm charts repository""}"
Clone the data pipeline repo,git_clone,git_clone,,git,,"git,clone,data","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/data-pipeline.git"", ""branch"": ""main"", ""explanation"": ""Cloning data pipeline repository""}"
Clone our private repo from GitHub,git_clone,git_clone,,git,,"git,clone,private","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/private-org/secret-project.git"", ""branch"": ""main"", ""explanation"": ""Cloning private repository""}"
Clone the feature/payments branch from my repo,git_clone,git_clone,,git,,"git,clone,branch,feature","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/ecommerce.git"", ""branch"": ""feature/payments"", ""explanation"": ""Cloning feature/payments branch""}"
Clone https://github.com/istio/istio.git,git_clone,git_clone,,git,,"git,clone,istio","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/istio/istio.git"", ""branch"": ""master"", ""explanation"": ""Cloning Istio service mesh repository""}"
Pull the auth service repository,git_clone,git_clone,,git,,"git,clone,auth","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/auth-service.git"", ""branch"": ""main"", ""explanation"": ""Cloning auth service repository""}"
Clone the machine learning model repo,git_clone,git_clone,,git,,"git,clone,ml","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/team/ml-models.git"", ""branch"": ""main"", ""explanation"": ""Cloning ML models repository""}"
Clone https://github.com/traefik/traefik.git,git_clone,git_clone,,git,,"git,clone,traefik","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/traefik/traefik.git"", ""branch"": ""master"", ""explanation"": ""Cloning Traefik repository""}"
Clone the serverless functions repo,git_clone,git_clone,,git,,"git,clone,serverless","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/serverless-functions.git"", ""branch"": ""main"", ""explanation"": ""Cloning serverless functions repository""}"
Clone the documentation repository,git_clone,git_clone,,git,,"git,clone,docs","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/docs.git"", ""branch"": ""main"", ""explanation"": ""Cloning documentation repository""}"
Git clone the notification service,git_clone,git_clone,,git,,"git,clone,notification","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/notification-service.git"", ""branch"": ""main"", ""explanation"": ""Cloning notification service repository""}"
Clone https://github.com/argoproj/argo-cd.git,git_clone,git_clone,,git,,"git,clone,argocd","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/argoproj/argo-cd.git"", ""branch"": ""master"", ""explanation"": ""Cloning Argo CD repository""}"
Clone the database migration scripts repo,git_clone,git_clone,,git,,"git,clone,database","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/db-migrations.git"", ""branch"": ""main"", ""explanation"": ""Cloning database migrations repository""}"
Clone the hotfix branch of the production repo,git_clone,git_clone,,git,,"git,clone,branch,hotfix","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/production-app.git"", ""branch"": ""hotfix/critical-fix"", ""explanation"": ""Cloning hotfix branch""}"
Grab the repo from https://github.com/user/portfolio.git,git_clone,git_clone,,git,,"git,clone,github","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/user/portfolio.git"", ""branch"": ""main"", ""explanation"": ""Cloning portfolio repository""}"
Clone the shared libraries repository,git_clone,git_clone,,git,,"git,clone,libraries","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/shared-libs.git"", ""branch"": ""main"", ""explanation"": ""Cloning shared libraries repository""}"
Clone https://github.com/elastic/elasticsearch.git,git_clone,git_clone,,git,,"git,clone,elasticsearch","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/elastic/elasticsearch.git"", ""branch"": ""main"", ""explanation"": ""Cloning Elasticsearch repository""}"
Pull the Kubernetes manifests repo,git_clone,git_clone,,git,,"git,clone,kubernetes","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/k8s-manifests.git"", ""branch"": ""main"", ""explanation"": ""Cloning Kubernetes manifests repository""}"
Clone the security scanning tools repo,git_clone,git_clone,,git,,"git,clone,security","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/security-tools.git"", ""branch"": ""main"", ""explanation"": ""Cloning security tools repository""}"
Clone https://github.com/apache/kafka.git,git_clone,git_clone,,git,,"git,clone,kafka","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/apache/kafka.git"", ""branch"": ""trunk"", ""explanation"": ""Cloning Apache Kafka repository""}"
Clone the testing framework repository,git_clone,git_clone,,git,,"git,clone,testing","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/test-framework.git"", ""branch"": ""main"", ""explanation"": ""Cloning testing framework repository""}"
Clone https://github.com/redis/redis.git,git_clone,git_clone,,git,,"git,clone,redis","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/redis/redis.git"", ""branch"": ""unstable"", ""explanation"": ""Cloning Redis repository""}"
Clone the e-commerce platform repo,git_clone,git_clone,,git,,"git,clone,ecommerce","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/ecommerce-platform.git"", ""branch"": ""main"", ""explanation"": ""Cloning e-commerce platform repository""}"
Clone the logging service from GitLab,git_clone,git_clone,,git,,"git,clone,gitlab,logging","{""action"": ""git_clone"", ""repo_url"": ""https://gitlab.com/org/logging-service.git"", ""branch"": ""main"", ""explanation"": ""Cloning logging service from GitLab""}"
Clone the v2 branch of the API repo,git_clone,git_clone,,git,,"git,clone,branch,api","{""action"": ""git_clone"", ""repo_url"": ""https://github.com/org/api.git"", ""branch"": ""v2"", ""explanation"": ""Cloning v2 branch of API repository""}"
