prompt,intent,action_type,path,category,args,tags,action_json
For every new tenant onboarded provision isolated VPC and EKS cluster on AWS run CIS benchmark security scan deploy Prometheus and Grafana observability tag all resources with tenant cost center email provisioning report to tenant admin set SLO alerts and escalation policies,workflow_agentic,agentic,,workflow,,"workflow,agentic,tenant_onboarding,vpc,eks,security,observability,finops","{""action"": ""workflow_agentic"", ""intent"": ""For every new tenant onboarded: Provision isolated VPC + EKS cluster on AWS, run CIS benchmark security scan, deploy Prometheus + Grafana observability, tag all resources with tenant cost center, email provisioning report to tenant admin, set SLO alerts and escalation policies."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_aws"", ""tasks"": [""vpc"", ""eks""]}, {""name"": ""SecurityAgent"", ""role"": ""cis_scan""}, {""name"": ""ObservabilityAgent"", ""role"": ""deploy_prometheus_grafana""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}, {""name"": ""NotificationAgent"", ""role"": ""email_report""}, {""name"": ""SLOAgent"", ""role"": ""set_slo_alerts""}], ""explanation"": ""Full tenant onboarding agentic workflow with 7 agents executing in dependency order.""}"
Onboard a new tenant called acme-corp with isolated VPC EKS CIS scan Prometheus Grafana cost tagging and SLO alerts,workflow_agentic,agentic,,workflow,,"workflow,agentic,tenant,acme,vpc,eks","{""action"": ""workflow_agentic"", ""intent"": ""Provision a new tenant: isolated VPC + EKS cluster, CIS benchmark scan, Prometheus + Grafana observability, FinOps cost tagging, SLO alerts."", ""tenant_id"": ""acme-corp"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_aws"", ""tasks"": [""vpc"", ""eks""]}, {""name"": ""SecurityAgent"", ""role"": ""cis_scan""}, {""name"": ""ObservabilityAgent"", ""role"": ""deploy_prometheus_grafana""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}, {""name"": ""SLOAgent"", ""role"": ""set_slo_alerts""}], ""explanation"": ""Tenant onboarding agentic workflow for tenant_id=acme-corp.""}"
Build an agentic workflow that provisions a tenant environment on AWS with full security and observability,workflow_agentic,agentic,,workflow,,"workflow,agentic,tenant_onboarding","{""action"": ""workflow_agentic"", ""intent"": ""Provision a tenant AWS environment with full security and observability."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_aws""}, {""name"": ""SecurityAgent"", ""role"": ""cis_scan""}, {""name"": ""ObservabilityAgent"", ""role"": ""deploy_prometheus_grafana""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}], ""explanation"": ""Tenant provisioning agentic workflow.""}"
Replace my n8n tenant onboarding workflow with an agentic AgentWorkflow,workflow_agentic,agentic,,workflow,,"workflow,agentic,n8n,replace","{""action"": ""workflow_agentic"", ""intent"": ""Replace n8n tenant onboarding workflow with an agentic equivalent: provision tenant infra, security scan, observability, cost tagging, notifications, SLO alerts."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_aws""}, {""name"": ""SecurityAgent"", ""role"": ""cis_scan""}, {""name"": ""ObservabilityAgent"", ""role"": ""deploy_prometheus_grafana""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}, {""name"": ""NotificationAgent"", ""role"": ""email_report""}, {""name"": ""SLOAgent"", ""role"": ""set_slo_alerts""}], ""explanation"": ""Migrates a 50-node n8n workflow into a single-intent agentic workflow.""}"
For every new tenant provision EKS run security scan deploy observability and email a report,workflow_agentic,agentic,,workflow,,"workflow,agentic,tenant,eks,security,email","{""action"": ""workflow_agentic"", ""intent"": ""For every new tenant: provision EKS, run security scan, deploy observability, email a report."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_eks""}, {""name"": ""SecurityAgent"", ""role"": ""security_scan""}, {""name"": ""ObservabilityAgent"", ""role"": ""deploy_observability""}, {""name"": ""NotificationAgent"", ""role"": ""email_report""}], ""explanation"": ""Tenant onboarding with 5 agents.""}"
Onboard tenant globex-inc and run CIS benchmark and tag everything with cost center,workflow_agentic,agentic,,workflow,,"workflow,agentic,globex,cis,cost","{""action"": ""workflow_agentic"", ""intent"": ""Onboard tenant globex-inc: provision baseline infra, run CIS benchmark, tag all resources with cost center."", ""tenant_id"": ""globex-inc"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_aws""}, {""name"": ""SecurityAgent"", ""role"": ""cis_scan""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}], ""explanation"": ""Tenant onboarding for globex-inc.""}"
Spin up a tenant on Azure with VNet AKS Defender for Cloud and Log Analytics observability,workflow_agentic,agentic,,workflow,,"workflow,agentic,azure,aks,defender","{""action"": ""workflow_agentic"", ""intent"": ""Provision tenant on Azure: VNet, AKS, Defender for Cloud, Log Analytics observability."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_azure"", ""tasks"": [""vnet"", ""aks""]}, {""name"": ""SecurityAgent"", ""role"": ""defender_baseline""}, {""name"": ""ObservabilityAgent"", ""role"": ""log_analytics""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}], ""explanation"": ""Azure tenant onboarding agentic workflow.""}"
Create a GCP tenant environment with VPC GKE Cloud Armor and Cloud Operations observability,workflow_agentic,agentic,,workflow,,"workflow,agentic,gcp,gke,armor","{""action"": ""workflow_agentic"", ""intent"": ""Provision GCP tenant: VPC, GKE, Cloud Armor, Cloud Operations observability."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_gcp"", ""tasks"": [""vpc"", ""gke""]}, {""name"": ""SecurityAgent"", ""role"": ""cloud_armor""}, {""name"": ""ObservabilityAgent"", ""role"": ""cloud_operations""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}], ""explanation"": ""GCP tenant onboarding agentic workflow.""}"
Provision a multi-region production tenant with HA databases and cross-region observability,workflow_agentic,agentic,,workflow,,"workflow,agentic,multi_region,ha","{""action"": ""workflow_agentic"", ""intent"": ""Provision multi-region production tenant with HA databases and cross-region observability."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_multiregion"", ""tasks"": [""vpc"", ""rds_multi_az"", ""global_lb""]}, {""name"": ""SecurityAgent"", ""role"": ""cis_scan""}, {""name"": ""ObservabilityAgent"", ""role"": ""cross_region_metrics""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}, {""name"": ""SLOAgent"", ""role"": ""set_slo_alerts""}], ""explanation"": ""Multi-region production agentic workflow.""}"
Stand up a sandbox tenant for trial users with auto-expire after 14 days,workflow_agentic,agentic,,workflow,,"workflow,agentic,sandbox,trial","{""action"": ""workflow_agentic"", ""intent"": ""Provision sandbox tenant for trial users with 14-day auto-expire policy."", ""tenant_id"": ""<tenant>"", ""canvas"": true, ""agents"": [{""name"": ""SupervisorAgent"", ""role"": ""plan""}, {""name"": ""ProvisioningAgent"", ""role"": ""provision_sandbox""}, {""name"": ""FinOpsAgent"", ""role"": ""tag_cost_center""}, {""name"": ""SchedulerAgent"", ""role"": ""set_auto_expire"", ""ttl_days"": 14}], ""explanation"": ""Sandbox tenant with FinOps + auto-expire scheduler.""}"
